neg,neu,pos,compound,line
0.102,0.898,0.0,-0.3612,"i thought it was just the player, but then i started checking the discs to find that the apex 2600 is actually ruining my media."
0.0,0.711,0.289,0.69,there are funny little ridges on the dvd that look like the slice of a tree trunk!
0.103,0.742,0.155,0.2105,this player is not worth any price and i recommend that you don't purchase it.
0.0,1.0,0.0,0.0,"i intend to contact the company, but from what i've read."
0.348,0.652,0.0,-0.4939,i just got screwed out of fifty bucks.
0.0,1.0,0.0,0.0,apex doesn't answer the phone.
0.0,0.0,1.0,0.0258,* sigh.
0.455,0.545,0.0,-0.3612,their customer service sucks.
0.268,0.732,0.0,-0.296,no way to contact their customer service.
0.655,0.345,0.0,-0.5849,very bad quality.
0.0,0.0,1.0,0.7579,great value.
0.0,0.737,0.263,0.802,i bought this apex 2600 dvd player for myself at christmas because it got good reviews as a good value for the money on a variety of different sites.
0.0,0.769,0.231,0.743,i took it to my father's house to play a tom jones concert dvd and he loved the player so much i gave it to him.
0.0,1.0,0.0,0.0,now i need to buy myself another one!
0.412,0.588,0.0,-0.5994,have used it frequently and have had no problems.
0.0,0.854,0.146,0.4404,"i always research electronics online before i buy because even within the same company, some models are better than others."
0.0,0.682,0.318,0.4215,i liked this one enough to buy another.
0.0,0.683,0.317,0.7579,my dad also has an apex tv and it was another great value for the money.
0.0,0.494,0.506,0.6249,great quality picture and features.
0.376,0.624,0.0,-0.3412,2 out of three ain't good.
0.0,1.0,0.0,0.0,thought i'd weigh in here with my stats.
0.0,1.0,0.0,0.0,i've bought 3 apex dvd players now.
0.278,0.625,0.097,-0.6369,"they play just about everything, but # 2 and # 3 died very shortly after getting them."
0.134,0.554,0.312,0.5499,"i am back to using # 1.  nice machines, but i consider their quality pretty low now."
0.0,0.58,0.42,0.4404,buy a better known brand name.
0.177,0.823,0.0,-0.4215,this item broke just two weeks after i gave it to my kids for christmas.
0.0,1.0,0.0,0.0,the door would not close.
0.082,0.855,0.063,-0.128,i tried to contact apex to return it (i missed the amazon return period) and it took 3 months to get through to their customer service dept.
0.0,0.755,0.245,0.3818,i am still trying to resolve it four months later.
0.0,0.709,0.291,0.6249,piece of crap... it looks great - and is loaded with features.
0.231,0.769,0.0,-0.34,"unfortunately it turns out to be the "" disposable "" type."
0.142,0.858,0.0,-0.5093,"have had problems since the first day  - not playing some dvds and then finally after less than 60 days, it just would not recognize anything i pop in it."
0.0,0.824,0.176,0.4939,save money on the long run - buy something decent once instead of buying cheap every month.
0.71,0.29,0.0,-0.5994,i've had no problems.
0.0,1.0,0.0,0.0,the apex 2600 has been a steady performer for me.
0.29,0.71,0.0,-0.5994,"i bought mine in december of 2003, and have had no real problems with it."
0.0,1.0,0.0,0.0,it does tend to run quite hot and should be given lots of room for air circulation.
0.0,0.784,0.216,0.5106,"it did also seem to have a strong "" new electronics "" smell for some time."
0.122,0.746,0.131,0.0772,"the only thing i did experience was a problem of the player freezing while playing, which i was able to clear by opening it up and blowing it out with "" canned air."
0.084,0.763,0.153,0.998,"  this problem vanished after the first month, so i assume it was a temporary dust issue.

11_10	2.05	the fact that this model would play jpeg slideshows was a big plus for me as a visual artist, and i discovered by accident (it is not mentioned anywhere in the literature) that it will play mpeg1 files on a regular cd-r data disk without vcd formatting.

11_11	-0.4	the remote is okay, but i am not a fan of remotes with tiny buttons.

11_12	1.3	i especially like the more commonly used buttons, such as play, pause, and stop, to be larger and conveniently placed.

11_13	-0.15	while it is true that it will stand on end, it is also easy to knock over that way.

11_14	-1.45	i also didn't like the way it displayed information way down into the screen when you are in zoom mode.

11_15	-0.05	the zoom goes up and down in magnification, which is nice, but there is always a display of the zoom size about one-quarter of the way down from the top of the screen that interferes with viewing at most settings.

11_16	-1.25	having spent considerable time with professional video gear, i find onscreen displays annoying.

11_17	0	i have not used the progressive scan feature.

11_18	0.55	this model has come down in price since i purchased mine.

11_19	2	while it seems like some people have had trouble with theirs, mine has run well, and i would recommend it if you are considering a dvd player purchase.

11_20	-0.4	any possible problems should be weighed against the bang-for-the-buck factor, along with the fact that companies like apex seldom have good after-sale support.

11_21	1.85	while i would like to give it 3.5 stars instead of 4, i gave it a 4 because it has run well for me during the time i have owned it.

12_1	-3.3	do not buy this piece of junk.

12_2	-1.45	i purchased this unit 3 months back and i think the unit knew when my warrenty expires.

12_3	-2.2	it is more than 90 days and it does not show the picture no matter what i do.

12_4	-1.35	i can only hear the sound.

12_5	-1.4	i changed video cables, tried connecting to tv on input1 and input2 but no help.

12_6	-0.8	i think you get what you pay for stands true.

13_1	-2	nice paperweight.

13_2	-2.15	i have had this player for 3 months and have been able to see a total of 6 dvd's, after the frustration and aggrivation of getting the player to do it's job.

13_3	-2.15	i have tried many times to get a hold of apex who doesn't seem to answer their emails and telephone number is constantly busy as (i believe) the one lonely customer service rep is probably extremely overworked.

13_4	-2	as i emailed to the the customer service department, the only thing this player has done consistantly is use enought electricity to keep the red led burning.

13_5	-2.9	do yourself a favor and save your money to get something of better quality, or at least works.

14_1	-3.5	worst piece of electronics i ever bought.

14_2	-2.6	if i could give this a negative rating, i would.

14_3	-2.35	i am surprised amazon still carries this after all of the continued problems.

14_4	-1.9	won't play a lot of discs.

14_5	-3.05	i can only confirm what other customers have said - crap!

14_6	-1.6	some movies it played yesterday, it won't play today.

14_8	-2.75	tech support from apex is literally - nonexistent.

14_9	-2.45	amazon, do your customers a big favor, don't carry this item, and give them refunds!

14_10	-2.95	there should have been a recall on this product.

14_11	-2.55	fair warning - do not buy.

14_12	-2.6	i repeat - don't wast your money.

15_1	-3.1	don't buy!

15_2	-2.7	i bought 2 of this model for christmas presents and neither one of them work!

15_3	-2.25	it is embarassing getting phone calls from family members telling you that the dvd player you gave them less that 3 months ago is no longer working.

15_4	-2.25	one stopped working in february and the other in march.

15_5	-0.55	amazon has been working with me to refund my money, but they reminded me that i have past the 30 day return policy and this was a courtesy return.

15_6	-1.2	i have had great experience with amazon, but i will probably not buy electronics any more from them to avoid any future return problems.

16_1	-1.8	we had problems.

16_2	-2.15	the dvd player does not work properly.

16_3	-1.75	the player usually plays dvd's, but has occasional problems such as: 1) not recognizing a dvd 2) stopping a particular point in a movie every time we played it 3) not being able to access certain special features on a rental dvd.

16_4	-1	this has happened with several different dvd's and occasionally if we keep trying something, it will work when it did not work one time before.

16_5	-2.3	after we discovered the problems, we tried to contact apex (fkor 3 months), but we never got in touch with them.the customer support telephone number is always busy, and they do not answer their web customer support.

17_1	0.05	ok if you have a 2nd dvd player.

17_2	0	i have had this dvd player for about 3 months now.

17_3	1.55	nothing has broken on it, and it plays all the dvds i have.

17_4	-1.65	unfortunately it can't play all of the dvd.

17_5	0	i have several tv shows on dvd so they are divided by episode.

17_6	-1.4	on 2 dvds so far it refuses to play certain episodes with no problems on the others on the dvd.

17_7	0	luckily i also have a ps2 which can play those episodes the player can't.

17_8	-1.75	unfortunately i bought a player because the ps2 couldn't play all my dvds, and now the player can't play everything.

18_1	-1.8	another person who had problem with picture after one use.

18_2	0.2	i purchased this as a christmas gift for my husband.

18_3	2.45	we tried it out christmas night and it worked great.

18_4	0.9	even viewed cds full of jpgs.

18_5	-1.2	we didn't get to use it again for over a month (sad, i know).

18_6	-1.75	but when we went to use it again, there was sound but no picture.

18_7	-2.25	we saw reviews that said the same thing, and also saw here that their customer service stinks.

18_8	-0.35	though we were past the deadline for returns (by a few days), i contacted amazon right away and pleaded for help.

18_9	0.05	they authorized my late return, and hopefully they are giving apex heck.

18_10	-0.75	i hate apex but love amazon, and i tell everyone.

18_11	-2.8	do not buy this player.

18_12	-1.7	who knows how many uses you'll get out of it before it craps out, but it probably will.

19_1	-1.85	frustrating just hope you never lose / break the remote for this player!

19_2	-2.1	we've purchased 3 universal remotes so far-all claiming to work  apex "" dvd players and none worked."
0.0,1.0,0.0,0.0,called customer service and basically was told to either keep buying univ.
0.0,1.0,0.0,0.0,remotes to try or buy the replacement remote for $ 23 (which is almost half of what i paid for the whole player).
0.0,0.728,0.272,0.6696,if anybody knows of a remote to work this-i'd love to hear from you!
0.152,0.848,0.0,-0.3244,"(on here of course) also, a couple dvd's wouldn't play and they were new ones!"
0.608,0.392,0.0,-0.4767,poor customer service.
0.182,0.818,0.0,-0.4404,i had to return the remote on this product because it appeared to be defective.
0.0,1.0,0.0,0.0,it took over 2 months and repeated follow-up to get it replaced.
0.113,0.833,0.054,-0.3404,the customer service dept did not list a toll free number and it was a real hassle to get through on their regular line.
0.0,1.0,0.0,0.0,i would not be inclined to purchase an apex product again.
0.0,1.0,0.0,0.0,a piece of junk.
0.483,0.517,0.0,-0.4215,door broke after a month.
0.0,0.806,0.194,0.34,unit took forever since the begiining to recognize and play discs.
0.216,0.784,0.0,-0.296,3 months of use and it no longer recognizes anything.
0.487,0.513,0.0,-0.2263,forget about it.
0.0,1.0,0.0,0.0,it's money down the drain.
0.0,1.0,0.0,0.0,get cheaper panasonics or toshibas or even sonys.
0.0,1.0,0.0,0.0,"to quote bart: "" craptacular ""."
0.0,0.505,0.495,0.5994,"well, it was nice while it lasted."
0.0,0.721,0.279,0.2732,"after @ 3 months, it stoppped playing higher number scenes on dvds."
0.267,0.733,0.0,-0.6249,"as an engineer, i am embarrassed for the engineering profession when such crap is released for sale."
0.756,0.244,0.0,-0.4767,poor quality.
0.0,1.0,0.0,0.0,only used for 3 month before it's down!
0.0,0.792,0.208,0.4389,i had hoped this was bought from walmart so that i could return it!
0.0,1.0,0.0,0.0,"it sends discoutinous signals to tv, so the tv has the pictures for one moment and has only the white noise for the other moment."
0.117,0.883,0.0,-0.2755,the other thing i don't like about this 2600 is that it makes the color look over saturated.
0.0,0.598,0.402,0.9151,"maybe it's good for tvs with not so good color settings, but not good for my tv that already has very vibrant pictures."
0.34,0.412,0.247,-0.2263,returned after failing to play dvds.
0.0,0.606,0.394,0.6705,i purchased the ad2600 after feeling comfortable with the reviews i read here on amazon.
0.104,0.896,0.0,-0.1027,"as soon as i lifted the unit out of the box, i questioned my judgement."
0.0,1.0,0.0,0.0,the entire unit was poorly crafted.
0.057,0.943,0.0,-0.1027,there were sharp screw tips on the underside of the unit coming from inside that were obviously used to anchor the internal control board.
0.0,0.888,0.112,0.34,"after hooking the thing up, i found that it would only played less than 50% of the dvds i put in it."
0.0,0.76,0.24,0.6249,most of the dvds i was trying were fairly new and were in great condition.
0.0,1.0,0.0,0.0,the dvd player just would't recognize them.
0.115,0.885,0.0,-0.296,"it would spin, read, spin some more and then show on the display that there was no disc."
0.0,0.805,0.195,0.1779,i ended up sending the unit back to amazon.
0.0,1.0,0.0,0.0,apex ad2600.
0.0,0.84,0.16,0.4588,"this dvd player plays raw mpeg2 and mpeg1 videos, jpeg, wma, cdr / cdrw / dvdr / dvdrw, and of course plays dvd movies from uk."
0.0,0.543,0.457,0.6369,"i love the aiff, progressive scan feature."
0.0,0.909,0.091,0.34,now it would have gotten 5 stars had this baby come with features to upgrade the firmware and was able to play divx or avi videos.
0.0,1.0,0.0,0.0,but for $ 49.99 go get one!
0.0,0.917,0.083,0.2023,features and looks this dvd player is overpriced had it come with sony or one of the other top brand names.
0.0,1.0,0.0,0.0,customer service nonexistant.
0.0,1.0,0.0,0.0,i have not even used my new dvd player and already i am disapointed!
0.0,1.0,0.0,0.0,i have been trying for over a week to contact apex.
0.0,1.0,0.0,0.0,they will not respond to my emails (promised turnaround time is 24 hours) and the phone line is constantly busy.
0.0,1.0,0.0,0.0,all i am looking for is a rebate form!
0.0,0.93,0.07,0.09,"what a buy... i accually didn't buy the apex ad-2600 from amazon but, the reviews i found here helped me purchase it."
0.0,0.756,0.244,0.6369,i have owned an apex ad-3201 for close to 3 years now and i love that deck.
0.0,1.0,0.0,0.0,"because of it's hidden features (no macrovision, non-regional) i keep this baby around to watch non-american region dvd's."
0.0,1.0,0.0,0.0,"however, the ad-2600 doesn't have this feature (for now)."
0.0,0.755,0.245,0.7003,"the cool thing about the ad-2600 it plays alot of different file like mp3, wma cds, jpeg and kodak picture cds, dvd's, dvd - / + r's."
0.0,0.872,0.128,0.3612,"it's not a listed feature but, the one thing that sold the unit is that it plays mpeg video."
0.0,0.549,0.451,0.6249,i find this to be a great feature.
0.0,0.52,0.48,0.8074,i've tried playing all of these discs and they all play great.
0.0,0.707,0.293,0.4404,for the money apex machines have good features.
0.0,1.0,0.0,0.0,you can't find the mpeg playback on high priced units.
0.193,0.55,0.257,0.1779,"it's low profile, space saving design looks nice."
0.0,0.631,0.369,0.6249,i find the apex ad-2600 to be a great buy.
0.187,0.509,0.305,0.3382,avoid apex dvd players - even if they're free!
0.0,0.784,0.216,0.5106,i received this dvd player free with the purchase of a palm tungsten e from officemax.
0.0,1.0,0.0,0.0,now i know why - they are pieces of junk.
0.248,0.752,0.0,-0.3182,"less than a month later the screen freezes and eventually shows "" no disc."
0.048,0.789,0.164,0.9974,"  this is the second apex dvd player i've had - and the last.

29_1	2.65	best player for the buck.

29_2	1.95	i was surprised to find that not only could this dvd player play mpeg2 format which allowed me to stack 2 movies on a dvd, but it also was able to play vob files which i created with smart ripper.

29_3	2.05	the aff feature did a great job converting the letterbox to fill 3/4 of the screen and the image still looked normal.

29_4	2.5	loved the slim design.

30_1	-1.5	black and white only after 1 month of use.

30_2	-1.35	this unit was working fine for the 1st month and a half and then the color signal disappeared.

30_3	-2	apex has still not responded to my email describing the problem after almost a week and their customer service line is always busy.

31_1	2.6	most bang for the buck.

31_2	3	i recieved my 2600 4 days ago and feel that this may be the best $ 50 i have ever spent.

31_3	1.9	it plays all my back-ups, + or -, and everything else i have put in it without a hick up.

31_4	2.9	audio is excellent.

31_5	2.4	well worth the money.

32_1	2.45	for the price, an excellent buy.

32_2	1.3	after having bought and been disappointed in another brand of dvd player, i purchased the apex ad2600 from amazon and first of all i should say it was delivered much more quickly than i had expected.

32_3	0.8	(good going, amazon).

32_4	2.6	i am very pleased with the apex ad2600.it plays just about anything you put in the drawer.

32_5	0.7	so far i've played regular dvd's, backup dvd-r's, mp3 cd's, and regular cd's.

32_6	1.75	i have not yet tried the photo show capability, but i'm thinking that will probably work well too, based on the success with the above mentioned disks.

32_7	0.3	i do want to mention too that it is certainly worthwhile to read the instruction manual that comes with the unit.

32_8	-0.05	the comments i've read about having problems with this dvd player all seem to stem from pushing the incorrect buttons on the dvd remote.for instance, pushing the button to play pal (european type) movies, when an ntsc (usa type) movie disk is in the disk tray.

32_9	1.25	so, if you read the instructions well, you shouldn't have any problems with this dvd unit.

32_10	0.1	i can't speak to its long-term reliability, as i've only had the apex ad2600 for a little over a week at this point.

32_11	1.3	but, it seems to work so well now, that i don't anticipate any problems with it.

32_12	2.15	bottom line for me is that for the price i don't think you can go wrong at all by purchasing this dvd player.

33_1	2.55	excellent second dvd, or first dvd for hdtv ready tv.

33_2	2.6	wow!

33_3	1.4	simple to use and hook up.

33_4	0.3	comes with standard rca jacks for output, along with s-video output (s-video cable not included, must be purchased seperately) and also component video outputs.

33_5	2.1	the progressive scan option can be turned off easily by a button on the remote control which is one of the simplest and easiest remote controls i have ever seen or used.

33_6	1.65	i also own an  apex ad 1201 "" dvd player and have had no problems with it since i purchased it almost 1 1/2 years ago."
0.0,1.0,0.0,0.0,one big difference between the 1201 and the 2600 models is that the 2600 model is virtually silent.
0.0,0.815,0.185,0.3612,and doesn't need to be placed in a cabinet like the 1201 does.
0.0,0.636,0.364,0.7425,friends of mine who own apex tv sets are also all very pleased.
0.137,0.749,0.113,-0.0992,i would not hesitate to purchase this if you are uncertain of the brand name.
0.0,0.61,0.39,0.4926,consider it for a future gift too!
0.0,0.385,0.615,0.4939,save your money.
0.0,0.676,0.324,0.34,this dvd play is basicly junk.
0.253,0.747,0.0,-0.2584,it won't play all of my movies.
0.479,0.521,0.0,-0.5574,keeps coming up with no disk errors.
0.222,0.505,0.273,0.128,"i tried called apex cust service, no help."
0.0,0.563,0.437,0.3252,don't waste your money.
0.0,1.0,0.0,0.0,"mine was 2 weeks old and i chucked it in the trash, where it belongs."
0.0,1.0,0.0,0.0,this is the 4 apex player that i have bought.
0.0,1.0,0.0,0.0,you might think you are saving money by buying an apex but in the long run you will spend more.
0.0,1.0,0.0,0.0,each of the 4 lasted less than six months.
0.0,0.711,0.289,0.7269,you can get a pretty good progressive scan sony or toshiba now for 68 bucks just about anywhere.
0.0,0.556,0.444,0.4588,spend the money its well worth it.
0.0,1.0,0.0,0.0,what a dvd player!
0.0,0.625,0.375,0.6369,this is the best dvd player i've purchased.
0.0,1.0,0.0,0.0,"i've owned a panasonic and sony dvd and this one outperforms in function and image quality and most of all, access speed."
0.124,0.811,0.065,-0.3283,"for those of you who has problems with this player, i'd suggest checking the owners manual to get the right setting so that you are not displaying the wrong mode and have no picture, etc."
0.0,0.749,0.251,0.5194,"this player has worked flawlessly for me and at this price, you can't go wrong."
0.0,1.0,0.0,0.0,80% of the features on here you will not get by spending $ 100 on a sony or panasonic.
0.0,1.0,0.0,0.0,"having said that, this is what you do."
0.0,1.0,0.0,0.0, check out !
0.0,0.0,1.0,0.5411, enjoy !
0.403,0.597,0.0,-0.4019,apex ad2600 known capadabilty problem.
0.176,0.824,0.0,-0.431,i have sent my ad2600 back to apex because it won't play certain disney and other dvd movies (no disc message).
0.252,0.748,0.0,-0.4019,they sent me a new ad2600 with the same problem.
0.2,0.763,0.037,-0.7854,i call apex customer service and they told me that there is a known problem with the model playing disney and other movies and that it is not there problem so i'm stuck with a new dvd player that won't play my kids disney movies.
0.0,0.426,0.574,0.4003,value for money!
0.058,0.942,0.0,-0.2584,i bought this dvd player mainly because my old sharp dvd player could not play most of the dvds from the store that i rent from and i had to watch them using my pc's dvd-rom player.
0.0,0.48,0.52,0.7574,"well, this apex dvd player turned out great!"
0.07,0.87,0.06,-0.0844,"it plays basically every media i've tested so far, even an old vcd that i ripped years ago and the rental dvd that couldn't be played on my old $ 200 sharp player!"
0.0,0.701,0.299,0.7964,"i have to say i'm also pretty impressed by the user interface for playing jpeg, mp3 and mpeg files stored on cd-rs / dvds."
0.0,0.845,0.155,0.2975,it's almost like having a media player / file manager built into the dvd player.
0.03,0.773,0.197,0.8068,i did not want to have high expectations for this apex player because of the price but it is definitely working out much better than what i would expect from an expensive high-end player.
0.0,1.0,0.0,0.0,what more can you ask for from a $ 40 dvd player?
0.0,0.539,0.461,0.7177,i guess i'm just lucky to get a good working unit!
0.0,0.775,0.225,0.4404,hope the unit lasts as i've only had it for 3 days.
0.0,0.766,0.234,0.5983,and the slim form-factor together with the mirror-like front panel sure makes the player look cool and pricey!
0.299,0.701,0.0,-0.8261,"one bad thing though, i find the remote-control a bit flimsy and i predict it will most probably ' die ' before the player does."
0.0,0.67,0.33,0.7827,"finally, amazon's free shipping is really getting good, it took only 3 working days for the player to reach me!"
0.508,0.492,0.0,-0.4767,poor quality dvd player.
0.241,0.759,0.0,-0.5423,"i purchased two of these players for christmas gifts, and both were bad."
0.0,1.0,0.0,0.0,the first one wouldn't work from the start.
0.0,1.0,0.0,0.0,the second lasted about two weeks before the video went out!
0.0,1.0,0.0,0.0,"amazon.com promptly refunded my money for the first one, because a replacement was not available (thanks amazon.com!"
0.189,0.629,0.182,-0.0258,i am still trying to resolve the problem with the second one.
0.0,0.94,0.06,0.2144,"i have tried several times to contact apex digital through their on-line support site and their telephone line, but they won't answer my emails and their telephone line is always busy."
0.0,1.0,0.0,0.0,i will never buy another apex digital product!
0.0,1.0,0.0,0.0,you get what you paid for.
0.0,0.734,0.266,0.4404,for the most part this is a good dvd player.
0.09,0.735,0.175,0.3291,"but about 25% of dvd's i've played on ithave a problem, when watching a movie the picture will freeze, but the dvd still plays, and eventualy the picture kicks back in after skipping a few moments."
0.196,0.804,0.0,-0.296,usually i just skip to the next chapter to avoid it.
1.0,0.0,0.0,-0.4019,annoying.
0.306,0.694,0.0,-0.5267,"no picture and / or no sound, try i/p button on the remote."
0.137,0.863,0.0,-0.2263,we have had this product for over a month and yesterday it stopped working.
0.0,1.0,0.0,0.0,it is connected to an old television set via composite video and analog audio outputs.
0.0,1.0,0.0,0.0,there was neither picture nor sound.
0.149,0.851,0.0,-0.4215,"connecting the same outputs to a video card in my computer, there was sound but still no picture."
0.256,0.62,0.124,-0.3732,"the trouble shooting section in the user's manual, suggesting correct and secure connections, doesn't help."
0.124,0.78,0.096,-0.1531,i searched on the internet and found one tip which solved our problem: press i/p button on the remote control.
0.0,1.0,0.0,0.0,it makes the dvd player to switch between interlace mode and progressive scan mode.
0.128,0.872,0.0,-0.296,obviously there is no composite video output and different analog audio signals at progressive scan mode.
0.0,0.633,0.367,0.4404,we are overall pleased with product.
0.293,0.707,0.0,-0.631,i would have rated it five stars but for the poor manual.
0.0,1.0,0.0,0.0,people with video issue's.
0.208,0.792,0.0,-0.7269,i think most of you people complaining about no video is due to you hitting the wrong button either the p/n = pal / ntsc or the i/p is set to progressive scan.
0.63,0.37,0.0,-0.5267,another stupid move.
0.0,1.0,0.0,0.0,buyer beware.
0.181,0.747,0.072,-0.6557,i purchased this as a christmas gift on 12-4 - 03.  it worked from 12-26 to 1-9 at which time the picture failed completely (see other negative reviews-my unit wasn't the only one this happened to.)
0.0,0.765,0.235,0.4588,"i tried calling the support number for a week, several times a day, and always got a busy signal."
0.0,0.87,0.13,0.4574,i also registered the unit online and posted two messages to the apex support person (there can't possibly be more than one!
0.0,1.0,0.0,0.0,neither message was answered (they ask for 24 hours before replying - i've been waiting 27 days.)
0.0,1.0,0.0,0.0,i finally returned the unit to the company along with copies of my messages and return info.
0.0,1.0,0.0,0.0,"let me quote a customer service rep from one of the authorized apex service locations in my state (they only service apex tv's, not dvd players):  "" you can send it in, but i wouldn't count on ever seeing it or a replacement again."
0.0,1.0,0.0,0.0,barely worked.
0.136,0.864,0.0,-0.296,"it only read the dvds 10% of the time, otherwise i would get a no disc screen."
0.0,0.791,0.209,0.4404,i got this dvd player as a gift and had to send it back.
0.0,0.839,0.161,0.6369,"amazon was supposed to send me another one, but didn't and sent me a gift certificate instead (i'm guessing because the price has gone up on this unit since december)."
0.403,0.597,0.0,-0.4019,has problems reading some dvds.
0.063,0.689,0.249,0.7351,"good:  progressive scan player for a relatively low price (although the better known manufacturers like toshiba, pioneer, and panasonic are now offering lower-priced progressive scan players as well)."
0.0,0.901,0.099,0.2682,"seems to read most dvds fine, and reads quietly (i had a pioneer player that had fairly loud disc spin noise)."
0.0,0.734,0.266,0.6722,"also, i have not had trouble reading svcds that i created and vbr mp3 cds (my old apex ad-1200 had trouble with these)."
